pair_id,SS_amount,LL_amount,SS_delay,LL_delay,currency,block_id
d_7FED_72,40,48,7,49,$,19
d_7FED_73,40,49,7,49,$,19
d_7FED_74,40,50,7,49,$,19
d_7FED_75,40,51,7,49,$,19
d_7FED_76,40,52,7,49,$,19
d_7FED_77,40,53,7,49,$,19
d_7FED_78,40,54,7,49,$,19
d_7FED_79,40,41,7,91,$,20
d_7FED_80,40,42,7,91,$,20
d_7FED_81,40,43,7,91,$,20
d_7FED_82,40,44,7,91,$,20
d_7FED_83,40,45,7,91,$,20
d_7FED_84,40,46,7,91,$,20
d_7FED_85,40,47,7,91,$,20
d_7FED_86,40,48,7,91,$,20
d_7FED_87,40,49,7,91,$,20
d_7FED_88,40,50,7,91,$,20
d_7FED_89,40,51,7,91,$,20
d_7FED_90,40,52,7,91,$,20
d_7FED_91,40,53,7,91,$,20
d_7FED_92,40,54,7,91,$,20
d_7FED_93,40,55,7,91,$,20
d_7FED_94,40,56,7,91,$,20
d_7FED_95,40,57,7,91,$,20
d_7FED_96,40,58,7,91,$,20
d_7FED_97,40,59,7,91,$,20
d_7FED_98,40,60,7,91,$,20
d_7FED_99,40,61,7,91,$,20
d_7FED_100,40,62,7,91,$,20
d_7FED_101,40,63,7,91,$,20
d_7FED_102,40,64,7,91,$,20
d_14FED_43,40,41,14,21,$,21
d_14FED_44,40,42,14,21,$,21
d_14FED_45,40,43,14,21,$,21
d_14FED_46,40,44,14,21,$,21
d_14FED_47,40,45,14,21,$,21
d_14FED_48,40,46,14,21,$,21
d_14FED_49,40,47,14,21,$,21
d_14FED_50,40,48,14,21,$,21
d_14FED_51,40,41,14,28,$,22
d_14FED_52,40,42,14,28,$,22
d_14FED_53,40,43,14,28,$,22
d_14FED_54,40,44,14,28,$,22
d_14FED_55,40,45,14,28,$,22
d_14FED_56,40,46,14,28,$,22
d_14FED_57,40,47,14,28,$,22
d_14FED_58,40,48,14,28,$,22
d_14FED_59,40,49,14,28,$,22
d_14FED_60,40,50,14,28,$,22
d_14FED_61,40,51,14,28,$,22
d_14FED_62,40,52,14,28,$,22
d_14FED_63,40,53,14,28,$,22
d_14FED_64,40,54,14,28,$,22
d_14FED_65,40,41,14,56,$,23
d_14FED_66,40,42,14,56,$,23
d_14FED_67,40,43,14,56,$,23
d_14FED_68,40,44,14,56,$,23
d_14FED_69,40,45,14,56,$,23
d_14FED_70,40,46,14,56,$,23
d_14FED_71,40,47,14,56,$,23
d_14FED_72,40,48,14,56,$,23
d_14FED_73,40,49,14,56,$,23
d_14FED_74,40,50,14,56,$,23
d_14FED_75,40,51,14,56,$,23
d_14FED_76,40,52,14,56,$,23
d_14FED_77,40,53,14,56,$,23
d_14FED_78,40,54,14,56,$,23
d_14FED_79,40,41,14,98,$,24
d_14FED_80,40,42,14,98,$,24
d_14FED_81,40,43,14,98,$,24
d_14FED_82,40,44,14,98,$,24
d_14FED_83,40,45,14,98,$,24
d_14FED_84,40,46,14,98,$,24
d_14FED_85,40,47,14,98,$,24
d_14FED_86,40,48,14,98,$,24
d_14FED_87,40,49,14,98,$,24
d_14FED_88,40,50,14,98,$,24
d_14FED_89,40,51,14,98,$,24
d_14FED_90,40,52,14,98,$,24
d_14FED_91,40,53,14,98,$,24
d_14FED_92,40,54,14,98,$,24
d_14FED_93,40,55,14,98,$,24
d_14FED_94,40,56,14,98,$,24
d_14FED_95,40,57,14,98,$,24
d_14FED_96,40,58,14,98,$,24
d_14FED_97,40,59,14,98,$,24
d_14FED_98,40,60,14,98,$,24
d_14FED_99,40,61,14,98,$,24
d_14FED_100,40,62,14,98,$,24
d_14FED_101,40,63,14,98,$,24
d_14FED_102,40,64,14,98,$,24
